isim,takim,ülke,maas,pozisyon,yas,sezon,macsayisi,golsayisi,dakika,ilkonbir
Ömür Aðgün,Akþehir Spor,Türkiye,0-500,Defans,30-40,16,363,0-100,30202,333
Erhan Eren,Bismil 21 Sportif,Türkiye,0-500,Defans,30-40,17,391,0-100,30885,341
Þükrü Çiçek,Bucak Bld.Oðuzhan,Türkiye,0-500,Kaleci,30-40,4,27,0-100,2241,27
Ýsa Ayhan,Hakkarispor FK,Türkiye,0-500,Forvet,30-40,11,176,0-100,12039,144
Yunus Kanaðý,Batman Petrolspor,Türkiye,0-500,Defans,30-40,8,119,0-100,7725,86
Ömer Deniz,Kurtalanspor,Türkiye,0-500,Defans,30-40,10,195,0-100,16434,188
Bayram Dede,Muþ Demirspor,Türkiye,0-500,Defans,30-40,14,199,0-100,16210,187
Aydýn Ýnanç,1920 Maraþspor,Türkiye,0-500,Forvet,30-40,16,357,0-100,27194,309
Evren Kalaç,Defnespor 2013,Türkiye,0-500,Ortasaha,30-40,15,312,0-100,22327,255
Mehmet Ali Yakýþýk,Adýyaman 1954 SK,Türkiye,0-500,Defans,30-40,16,374,0-100,31728,354
Mehmet Saltan,Þýrnak Þehrinuh,Türkiye,0-500,Kaleci,30-40,4,14,0-100,1260,14
Metin Cavlak,Þýrnak Þehrinuh,Türkiye,0-500,Ortasaha,30-40,11,119,0-100,8669,101
Caner Tezel,Bornova 1881 SK,Türkiye,0-500,Defans,30-40,10,135,0-100,10497,114
Ekrem Kerem Türker,Gaziosmanpaþa,Türkiye,0-500,Kaleci,30-40,11,170,0-100,14996,164
Fatih Mehmet Karaçetin,Kars 36 Spor,Türkiye,0-500,Ortasaha,30-40,11,170,0-100,14307,161
Ferit Cömert,Arsuz Karaaðaç 1967,Türkiye,0-500,Defans,30-40,15,342,0-100,26680,299
Gökhan Aslan,Cizrespor,Türkiye,0-500,Kaleci,30-40,16,225,0-100,19760,220
Ufuk Þahan,Osmaniyespor FK,Türkiye,0-500,Forvet,30-40,9,155,0-100,10325,118
Ümit Alkan,Nizipspor,Türkiye,0-500,Defans,30-40,9,111,0-100,8312,96
Vahap Iþýk,1926 Bulancakspor,Türkiye,0-500,Defans,30-40,11,153,0-100,12868,144
Mahmut Özkan,Hadýrlýgücü,Türkiye,0-500,Ortasaha,30-40,9,171,0-100,14053,162
Abdullah Yýlmaz,Adýyaman 1954 SK,Türkiye,0-500,Defans,30-40,13,344,0-100,28817,322
Mehmet Serkan Öztürk,Tatvanspor,Türkiye,0-500,Forvet,30-40,12,166,0-100,11227,122
Savaþ Çiçekay,Van Spor,Türkiye,0-500,Ortasaha,30-40,9,143,0-100,8974,102
Turan Çiftçi,Baþkale Gençlik,Türkiye,0-500,Defans,30-40,5,53,0-100,5197,40
Barýþ Ülger,Karsspor,Türkiye,0-500,Ortasaha,30-40,12,257,0-100,19501,221
Murat Sarý,Bitlis Özgüzeldere,Türkiye,0-500,Kaleci,30-40,15,267,0-100,23494,265
Ogün Özcan,Cizrespor,Türkiye,0-500,Ortasaha,30-40,12,255,0-100,18705,207
Hasan Aydýnlý,Sarýyer,Türkiye,0-500,Ortasaha,30-40,11,259,0-100,18994,213
Ýlker Akdemir,Arhavispor,Türkiye,0-500,Defans,30-40,10,181,0-100,14342,160
Rýzvan Þahin,Esenler Erokspor,Türkiye,0-500,Defans,30-40,16,320,0-100,25266,281
Yasin Çelik,Afjet Afyonspor,Türkiye,0-500,Defans,30-40,14,353,0-100,29387,324
Cenk Kasýmoðlu,Karasuspor,Türkiye,0-500,Forvet,30-40,18,368,100-200,27041,315
Ali Sakal,Görelespor,Türkiye,0-500,Ortasaha,30-40,15,362,0-100,27233,310
Celal Berber,Görelespor,Türkiye,0-500,Ortasaha,30-40,15,211,0-100,14673,164
Cihan Gökal,Çarþambaspor,Türkiye,0-500,Defans,30-40,12,286,0-100,21275,238
Birol Bektaþ,Maçkaspor,Türkiye,0-500,Kaleci,30-40,3,6,0-100,486,6
Coþkun Yýlmaz,Altýndaðspor,Türkiye,0-500,Forvet,30-40,15,386,100-200,25796,284
Ercan Þahin,Faroz Yalýspor,Türkiye,0-500,Ortasaha,30-40,13,242,0-100,19608,216
Fatih Öztürk,Antalya Kemerspor,Türkiye,0-500,Kaleci,30-40,18,220,0-100,19617,217
Hasan Pamuk,Çal Belediyespor,Türkiye,0-500,Defans,30-40,13,308,0-100,25701,291
Fatih Uyar,Ýzmirspor,Türkiye,0-500,Ortasaha,30-40,16,410,0-100,30203,337
Ýbrahim Volkan Bilginoðlu,Ýpekyolu Bld.,Türkiye,0-500,Defans,30-40,6,54,0-100,5749,48
Levent Kale,1926 Polatlý Bld.,Türkiye,0-500,Ortasaha,30-40,15,380,0-100,26876,303
Tayfun Özkan,1928 Bucaspor,Türkiye,0-500,Ortasaha,30-40,13,317,100-200,23742,264
Hasan Uður Kardal,Atakum Belediyespor,Türkiye,0-500,Forvet,30-40,16,292,0-100,18435,206
Ferhat Tahmas,Havza Bld.,Türkiye,0-500,Defans,30-40,14,231,0-100,19163,218
Aytaç Aydemir,Kumruspor,Türkiye,0-500,Forvet,30-40,11,137,0-100,7788,82
Ersin Gür,Ünyespor,Türkiye,0-500,Forvet,30-40,5,50,0-100,4118,48
Ýbrahim Karayiðit,Kumruspor,Türkiye,0-500,Ortasaha,30-40,13,173,0-100,12391,136
Orhan Kalafat,Serhat Ardahan,Türkiye,0-500,Ortasaha,30-40,16,280,0-100,18941,214
Volkan Bozkurt,52 Orduspor FK,Türkiye,0-500,Forvet,30-40,15,306,0-100,22658,261
Hakverdi Konca,Ulukavakspor,Türkiye,0-500,Defans,30-40,7,81,0-100,6590,75
Ali Küçükbayrak,Derelispor,Türkiye,0-500,Defans,30-40,9,126,0-100,8382,89
Mesut Morgül,Sakaryaspor,Türkiye,0-500,Ortasaha,30-40,10,177,0-100,11877,134
Serkan Þen,Salarhaspor,Türkiye,0-500,Kaleci,30-40,18,235,0-100,20745,230
Murat Ocak,68 Yeni Aksarayspor,Türkiye,0-500,Defans,30-40,12,239,0-100,19072,216
Polat Çelebi,1926 Bulancakspor,Türkiye,0-500,Forvet,30-40,13,156,0-100,10326,112
Adem Çalýk,Beylikdüzüspor,Türkiye,0-500,Forvet,30-40,15,378,0-100,25873,283
Engin Aktürk,Körfez Spor Kulübü,Türkiye,0-500,Defans,30-40,14,343,0-100,28476,318
Melih Açýkel,Keçiören Baðlumspor,Türkiye,0-500,Ortasaha,30-40,13,264,0-100,18810,219
Murat Tosun,Manisa Sanayispor,Türkiye,0-500,Forvet,30-40,12,222,0-100,12177,133
Özkan Koçalp,Korkuteli Bld.,Türkiye,0-500,Ortasaha,30-40,8,163,0-100,12574,135
Ersin Aksaç,Kestel Belediyespor,Türkiye,0-500,Forvet,30-40,16,374,100-200,25874,281
Burak Boz,Beyköy Bld.,Türkiye,0-500,Defans,30-40,15,246,0-100,18451,207
Ali Ýþleyen,Yenimahalle Bld.,Türkiye,0-500,Defans,30-40,13,247,0-100,20651,228
Bora Sevim,Ankara Demirspor,Türkiye,0-500,Kaleci,30-40,17,269,0-100,23675,262
Erhan Güven,MKE Ankaragücü,Türkiye,500-1000,Defans,30-40,12,286,0-100,22845,252
Fatih Sülüner,Ünyespor,Türkiye,0-500,Defans,30-40,10,208,0-100,13805,154
Fehmi Berk Sarýtaþ,Akþehir Spor,Türkiye,0-500,Ortasaha,30-40,14,142,0-100,10300,119
Ferhat Odabaþý,Hacettepe Spor,Türkiye,0-500,Kaleci,30-40,14,253,0-100,22489,250
Hakan Söyler,Ýnegölspor,Türkiye,0-500,Ortasaha,30-40,15,247,0-100,17645,201
Ýlhan Eker,Balýkesirspor,Türkiye,500-1000,Defans,30-40,14,273,0-100,23042,253
Kerem Þeras,Mamak FK,Türkiye,500-1000,Ortasaha,30-40,18,414,0-100,28529,324
Mahmut Acar,Anamur Belediyespor,Türkiye,0-500,Defans,30-40,13,221,0-100,17525,197
Salih Kardeþgiden,Osmancýk Bld.,Türkiye,0-500,Ortasaha,30-40,15,368,0-100,26022,299
Yücel Ömür Ejder,Bornova 1881 SK,Türkiye,0-500,Ortasaha,30-40,13,299,0-100,20996,235
Ýlyas Sakýzcý,Kilimli Bld.,Türkiye,0-500,Defans,30-40,9,187,0-100,14205,155
Ali Akdemir,Pursaklar Bld.,Türkiye,0-500,Defans,30-40,15,225,0-100,16660,181
Bayram Öztürk,Yeniçaðaspor,Türkiye,0-500,Ortasaha,30-40,12,153,0-100,10443,124
Bilal Emre Baykal,Çilimli Bld.,Türkiye,0-500,Ortasaha,30-40,5,25,0-100,1172,14
Emir Barlas,Ýstanbul SK,Türkiye,0-500,Defans,30-40,14,280,0-100,21442,247
Fýrat Yazar,Mersin BB MESKÝ,Türkiye,0-500,Ortasaha,30-40,2,10,0-100,407,4
Sercan Özçelik,Derincespor,Türkiye,0-500,Defans,30-40,16,436,0-100,37589,420
Tuna Yücel,Beyköy Bld.,Türkiye,0-500,Forvet,30-40,4,61,0-100,3521,40
Ýbrahim Taylan Uzunoðlu,Sultanbeyli Bld.,Türkiye,0-500,Forvet,30-40,16,344,0-100,23761,261
Ersin Veli,Fethiyespor,Türkiye,0-500,Defans,30-40,11,248,0-100,19830,216
Sofu Baykal,Akþehir Spor,Türkiye,0-500,Kaleci,30-40,17,394,0-100,35090,392
Cemil Vatansever,Pendikspor,Türkiye,0-500,Defans,30-40,13,263,0-100,21608,245
Ýbrahim Özder,Didim Belediyespor,Türkiye,0-500,Ortasaha,30-40,10,149,0-100,8431,90
Mustafa Karagülle,Seferihisarspor,Türkiye,0-500,Forvet,30-40,7,96,0-100,5934,69
Olgay Coþkun,Somaspor,Türkiye,0-500,Ortasaha,30-40,15,267,0-100,19732,219
Semavi Özgür,Somaspor,Türkiye,0-500,Ortasaha,30-40,15,342,0-100,23113,257
Yavuz Balcý,Akýncýlarspor,Türkiye,0-500,Ortasaha,30-40,11,202,0-100,14075,162
Mehmet Murat Gülbaba,Yalovaspor,Türkiye,0-500,Defans,30-40,17,415,0-100,36268,402
Murat Þimþek,Yalovaspor,Türkiye,0-500,Ortasaha,30-40,8,91,0-100,5752,64
Ümit Ýlyas Özkan,Yunusemrespor,Türkiye,0-500,Ortasaha,30-40,13,267,0-100,19243,211
Volkan Taþkömür,Termal Bld.,Türkiye,0-500,Forvet,30-40,7,115,0-100,8414,92
Veli Acar,Denizlispor,Türkiye,0-500,Ortasaha,30-40,15,389,0-100,28705,328
Ali Çevik,Erdekspor,Türkiye,0-500,Defans,30-40,14,271,0-100,20137,227
Murat Suci,Mudanya Burgaz,Türkiye,0-500,Ortasaha,30-40,11,225,0-100,18250,204
Burak Akyýldýz,Niðde Anadolu FK,Türkiye,0-500,Defans,30-40,12,169,0-100,11848,133
Güray Kula,Aliaða Futbol A.Þ.,Türkiye,0-500,Defans,30-40,18,408,0-100,34096,380
Sadullah Erarslan,Aliaða Futbol A.Þ.,Türkiye,0-500,Ortasaha,30-40,15,340,0-100,19999,222
Ömer Þengöz,Nilüfer Erdemlispor,Türkiye,0-500,Forvet,30-40,15,317,0-100,22980,255
Abdullah Kasým Aras,Hakkari Zapspor,Türkiye,0-500,Ortasaha,30-40,12,204,0-100,15393,177
Evren Avþar,Isparta FK,Türkiye,0-500,Ortasaha,30-40,12,262,0-100,17753,195
Yaþar Cesur,Isparta FK,Türkiye,0-500,Forvet,30-40,4,38,0-100,2209,22
Mustafa Kemal Baþkan,Gürsu Bld.,Türkiye,0-500,Ortasaha,30-40,4,25,0-100,1333,14
Erman Kýlýç,24Erzincanspor,Türkiye,0-500,Ortasaha,30-40,17,486,0-100,35014,395
Aytaç Uçar,Çayýrovaspor,Türkiye,0-500,Ortasaha,30-40,10,205,0-100,14052,167
Köksal Yedek,Hatayspor,Türkiye,0-500,Ortasaha,30-40,14,368,0-100,25192,290
Mesut Balkan,Osmaniyespor FK,Türkiye,0-500,Kaleci,30-40,17,297,0-100,26615,296
Mustafa Aydýn,MKE Ankaragücü,Türkiye,0-500,Defans,30-40,7,94,0-100,7637,82
Özgür Ergün,Silivrispor,Türkiye,0-500,Defans,30-40,14,284,0-100,18991,204
Serdar Niþancý,Çorluspor 1947,Türkiye,0-500,Kaleci,30-40,13,173,0-100,15162,171
Sezgin Coþkun,Eskiþehirspor,Türkiye,0-500,Defans,30-40,17,368,0-100,30207,338
Sezgin Baþ,Derelispor,Türkiye,0-500,Forvet,30-40,7,70,0-100,4147,41
Erhan Kaya,Yalovaspor,Türkiye,0-500,Kaleci,30-40,6,42,0-100,3446,41
Hakan Delil,Ergene Velimeþe,Türkiye,0-500,Ortasaha,30-40,11,222,0-100,14787,169
Ýskender Köksal,Leventspor,Türkiye,0-500,Defans,30-40,13,296,0-100,24738,272
Turan Kuþ,Kilis Belediyespor,Türkiye,0-500,Ortasaha,30-40,15,444,0-100,34573,393
Ulaþ Önsal,Kartalspor,Türkiye,0-500,Defans,30-40,9,190,0-100,15711,176
Ali Güzeldal,Orduspor,Türkiye,0-500,Forvet,30-40,10,190,0-100,12101,133
Cemal Taþlý,Lefke TSK,Türkiye,0-500,Ortasaha,30-40,9,191,0-100,13638,162
Gökhan Caba,Gaziosmanpaþa,Türkiye,0-500,Defans,30-40,16,328,0-100,27930,317
Ýlke Ege,Burhaniye Bld.,Türkiye,0-500,Kaleci,30-40,12,186,0-100,16305,181
Mustafa Ün,68 Yeni Aksarayspor,Türkiye,0-500,Defans,30-40,14,303,0-100,25808,290
Salim Kaya,Maltepespor,Türkiye,0-500,Ortasaha,30-40,17,332,0-100,22558,258
Serdar Akdoðan,Zara Belediyespor,Türkiye,0-500,Forvet,30-40,12,258,0-100,15783,172
Güngör Tuðcu,Ümraniyespor,Türkiye,0-500,Defans,30-40,8,159,0-100,11563,140
Hakan Akpýnar,Þile Yýldýzspor,Türkiye,0-500,Ortasaha,30-40,14,223,0-100,16157,179
Hakan Güvençer,Kýrklarelispor,Türkiye,0-500,Ortasaha,30-40,12,243,0-100,18569,204
Evren Erdem,Kestel Belediyespor,Türkiye,0-500,Defans,30-40,11,235,0-100,17914,207
Nizamettin Kemal Metin,Adapazarý Spor,Türkiye,0-500,Defans,30-40,10,195,0-100,15328,171
Oðuzhan Altinkaya,Kartepe Bld.,Türkiye,0-500,Defans,30-40,3,47,0-100,2813,27
Semih Topçuoðlu,Serdivanspor,Türkiye,0-500,Ortasaha,30-40,9,191,0-100,16079,185
Þenol Akýn,Bucaspor,Türkiye,0-500,Ortasaha,30-40,13,276,0-100,19848,225
Can Özgür Arslantaþ,Samsunspor,Türkiye,0-500,Ortasaha,30-40,9,163,0-100,12827,147
Aytek Öktem,Kartalspor,Türkiye,0-500,Forvet,30-40,14,392,0-100,27263,290
Eser Yayla,Tokatspor,Türkiye,0-500,Ortasaha,30-40,18,389,0-100,26473,316
Hakan Akbaþ,Halide Edip Adývar,Türkiye,0-500,Defans,30-40,16,432,0-100,36811,414
Murat Saim,1930 Bafraspor,Türkiye,0-500,Forvet,30-40,6,61,0-100,4189,50
Emin Erol,Gebze Sultan Orhan,Türkiye,0-500,Ortasaha,30-40,9,151,0-100,9499,106
Murat Soner Baþak,Kocaelispor,Türkiye,0-500,Defans,30-40,14,359,0-100,30670,346
Serkan Esen,Gölcükspor,Türkiye,0-500,Ortasaha,30-40,2,8,0-100,393,4
Ender Marangoz,Uzunköprüspor,Türkiye,0-500,Ortasaha,30-40,4,74,0-100,5360,71
Emre Conbalar,Kýrklarelispor,Türkiye,0-500,Kaleci,30-40,5,17,0-100,1507,17
Ewerthon,Atletico Sorocaba,Brezilya,1000-10000,Forvet,30-40,11,289,0-100,18622,208
Thorben Marx,Mönchengladbach,Almanya,0-500,Ortasaha,30-40,14,269,0-100,18052,208
Cacau,Stuttgart II,Almanya,0-500,Forvet,30-40,15,410,100-200,26664,289
Andreas Wolf,Nürnberg II,Almanya,500-1000,Defans,30-40,14,263,0-100,21928,248
Benjamin Lauth,Ferencvaros,Almanya,1000-10000,Forvet,30-40,14,382,100-200,26113,298
Andreas Hinkel,Freiburg,Almanya,1000-10000,Defans,30-40,12,321,0-100,26242,295
Alexander Hleb,BATE Borisov,Belarus,0-500,Ortasaha,30-40,21,614,0-100,42486,491
Ioannis Amanatidis,Eintracht Frankfurt,Yunanistan,1000-10000,Forvet,30-40,11,275,0-100,18294,209
Kevin Kuranyi,Dinamo Brest,Almanya,0-500,Forvet,30-40,15,514,100-200,39937,449
Christian Tiffert,Erzgebirge Aue,Almanya,0-500,Ortasaha,30-40,19,467,0-100,33770,364
Julian de Guzman,Ottawa Fury,Kanada,500-1000,Ortasaha,30-40,18,381,0-100,28621,327
Marcel Schied,Dassendorf,Almanya,0-500,Forvet,30-40,14,272,0-100,15393,176
Selim Teber,MKE Ankaragücü,Türkiye,500-1000,Ortasaha,30-40,15,268,0-100,15760,157
Maik Franz,Hertha Berlin,Almanya,0-500,Defans,30-40,13,236,0-100,19464,218
Lars Jungnickel,Dynamo Dresden,Almanya,0-500,Ortasaha,30-40,7,81,0-100,2726,22
Marko Babic,LASK Linz,Hýrvatistan,1000-10000,Defans,30-40,13,255,0-100,14834,157
Dimitar Berbatov,Kerala Blasters,Bulgaristan,500-1000,Forvet,30-40,18,632,200-500,45497,512
Owen Hargreaves,Manchester City,Ýngiltere,1000-10000,Ortasaha,30-40,12,242,0-100,16630,187
Roque Santa Cruz,Club Olimpia,Paraguay,1000-10000,Forvet,30-40,22,660,100-200,39485,432
Markus Feulner,Augsburg II,Almanya,500-1000,Ortasaha,30-40,18,338,0-100,21564,243
Moritz Volz,1860 München,Almanya,1000-10000,Defans,30-40,11,210,0-100,16990,191
Sebastian Svard,Throttur Reykjavik,Danimarka,0-500,Ortasaha,30-40,11,137,0-100,9521,105
Liam Chilvers,Hyde,Ýngiltere,500-1000,Defans,30-40,2,41,0-100,3511,37
Jermaine Pennant,Billericay Town,Ýngiltere,1000-10000,Ortasaha,30-40,16,386,0-100,24666,276
Kolo Toure,Celtic,Fildiþi Sahili,1000-10000,Defans,30-40,15,540,0-100,42471,472
Jerome Thomas,Port Vale,Ýngiltere,1000-10000,Ortasaha,30-40,13,232,0-100,15154,182
Francis Jeffers,Motherwell,Ýngiltere,500-1000,Forvet,30-40,13,168,0-100,7698,75
Jeremie Aliadiere,Lorient,Fransa,1000-10000,Forvet,30-40,15,267,0-100,16791,193
Graham Barrett,Shamrock Rovers,Ýrlanda,500-1000,Forvet,30-40,6,68,0-100,4091,45
Gareth Barry,West Bromwich,Ýngiltere,1000-10000,Ortasaha,30-40,23,804,0-100,65261,746
Jlloyd Samuel,Paykan Qazvin,Ýngiltere,1000-10000,Defans,30-40,14,310,0-100,24679,275
Liam Ridgewell,Southend United,Ýngiltere,1000-10000,Defans,30-40,17,434,0-100,36603,410
Thomas Hitzlsperger,Everton,Almanya,1000-10000,Ortasaha,30-40,13,331,0-100,23068,262
Peter Crouch,Burnley,Ýngiltere,1000-10000,Forvet,30-40,18,617,100-200,36378,402
Michael Johnson,Leicester City,Ýngiltere,1000-10000,Ortasaha,30-40,5,48,0-100,3679,42
Mathew Sadler,Walsall,Ýngiltere,500-1000,Defans,30-40,14,291,0-100,24407,272
Darren Carter,Solihull Moors,Ýngiltere,0-500,Ortasaha,30-40,16,384,0-100,26264,307
Craig Fagan,DPMM FC,Ýngiltere,1000-10000,Forvet,30-40,7,97,0-100,6558,72
James McEveley,Tranmere Rovers,Ýskoçya,0-500,Defans,30-40,13,297,0-100,22887,263
Neill Danns,Halifax Town,Ýngiltere,0-500,Ortasaha,30-40,16,424,0-100,31613,355
Bernard Mendy,Chennaiyin FC,Fransa,500-1000,Defans,30-40,17,399,0-100,31153,347
Danny Livesey,Chester,Ýngiltere,0-500,Defans,30-40,9,195,0-100,16020,189
Kevin Nolan,Leyton Orient,Ýngiltere,1000-10000,Ortasaha,30-40,15,540,100-200,42829,488
Cleveland Taylor,Corby Town,Ýngiltere,0-500,Ortasaha,30-40,5,85,0-100,5938,66
Jonathan Walters,Burnley,Ýrlanda,1000-10000,Ortasaha,30-40,12,393,0-100,29021,320
David Norris,SL Aquaforce,Ýngiltere,0-500,Ortasaha,30-40,10,206,0-100,16311,187
Paul Rachubka,Kerala Blasters,Ýngiltere,500-1000,Kaleci,30-40,10,112,0-100,9764,107
Paul Konchesky,Billericay Town,Ýngiltere,500-1000,Defans,30-40,21,584,0-100,46812,523
Valerio Di Cesare,FC Bari 1908,Ýtalya,0-500,Defans,30-40,9,227,0-100,18899,213
Robert Huth,Leicester City,Almanya,1000-10000,Defans,30-40,17,410,0-100,32933,363
Joe Keenan,Hibernian,Ýngiltere,500-1000,Ortasaha,30-40,5,35,0-100,1974,24
Filipe Oliveira,Sepsi,Portekiz,0-500,Ortasaha,30-40,15,270,0-100,16064,189
Mikael Forssell,HIFK Helsinki,Finlandiya,0-500,Forvet,30-40,19,374,0-100,19518,201
Carlton Cole,Persib Bandung,Ýngiltere,1000-10000,Forvet,30-40,17,373,0-100,19961,208
Leon Knight,Glentoran FC,Ýngiltere,0-500,Forvet,30-40,2,6,0-100,211,1
Peter Clarke,Tranmere Rovers,Ýngiltere,0-500,Defans,30-40,12,368,0-100,31666,353
Tony Hibbert,Everton,Ýngiltere,500-1000,Defans,30-40,16,307,0-100,24491,277
George Pilkington,Macclesfield Town,Ýngiltere,0-500,Defans,30-40,5,205,0-100,17480,197
Sean OHanlon,Stockport County,Ýngiltere,0-500,Defans,30-40,5,129,0-100,11341,127
Leon Osman,Everton,Ýngiltere,1000-10000,Ortasaha,30-40,14,411,0-100,29743,334
Wayne Rooney,Derby County,Ýngiltere,1000-10000,Forvet,30-40,19,824,200-500,63785,725
Mark Hudson,Huddersfield Town,Ýngiltere,0-500,Defans,30-40,10,286,0-100,24754,279
Dean Leacock,Welling United,Ýngiltere,500-1000,Defans,30-40,10,176,0-100,13915,158
Frazer Richardson,Rotherham United,Ýngiltere,1000-10000,Defans,30-40,9,120,0-100,8692,98
Matthew Kilgallon,Hyderabad FC,Ýngiltere,1000-10000,Defans,30-40,15,250,0-100,20785,231
James Milner,Liverpool,Ýngiltere,1000-10000,Ortasaha,30-40,19,769,0-100,51439,549
Chris Kirkland,Preston North End,Ýngiltere,500-1000,Kaleci,30-40,16,305,0-100,26955,303
Gregory Vignal,Dundee United,Fransa,500-1000,Defans,30-40,9,98,0-100,7052,84
John Welsh,Stafford Rangers,Ýngiltere,0-500,Ortasaha,30-40,10,151,0-100,10353,117
Stephen Warnock,Bradford City,Ýngiltere,0-500,Defans,30-40,14,446,0-100,36796,421
Milan Baros,Banik Ostrava,Çek Cumhuriyeti,0-500,Forvet,30-40,19,505,100-200,30402,352
El-Hadji Diouf,Leeds United,Senegal,0-500,Forvet,30-40,12,367,0-100,26078,297
Neil Mellor,Preston North End,Ýngiltere,500-1000,Forvet,30-40,6,76,0-100,4733,55
Kevin Stuhr-Ellegaard,FC Helsingor,Danimarka,500-1000,Kaleci,30-40,14,380,0-100,33927,378
Brian Murphy,Waterford FC,Ýrlanda,0-500,Kaleci,30-40,9,119,0-100,10501,116
Tyrone Loran,NAC Breda,Hollanda Antilleri,500-1000,Defans,30-40,6,117,0-100,8806,98
Paddy McCarthy,Crystal Palace U18,Ýrlanda,0-500,Defans,30-40,7,148,0-100,12631,142
Stephen Jordan,Chorley,Ýngiltere,1000-10000,Defans,30-40,14,243,0-100,19932,231
Glenn Whelan,Fleetwood Town,Ýrlanda,1000-10000,Ortasaha,30-40,14,525,0-100,38912,444
Terry Dunfield,Ross County,Kanada,0-500,Ortasaha,30-40,6,86,0-100,6290,75
Joey Barton,Burnley,Ýngiltere,1000-10000,Ortasaha,30-40,15,423,0-100,34147,385
Matias Vuoso,Correcaminos UAT,Arjantin,1000-10000,Forvet,30-40,8,229,0-100,14431,161
Ben Williams,Bolton Wanderers,Ýngiltere,0-500,Kaleci,30-40,6,198,0-100,17750,196
Luke Steele,Stamford,Ýngiltere,500-1000,Kaleci,30-40,13,324,0-100,28921,320
John OShea,Reading,Ýrlanda,500-1000,Defans,30-40,18,708,0-100,53851,605
Alan Tate,Port Talbot Town,Ýngiltere,1000-10000,Defans,30-40,7,160,0-100,13074,150
Michael Stewart,Charlton Athletic,Ýskoçya,1000-10000,Ortasaha,30-40,8,103,0-100,7960,93
Bojan Djordjic,Vasalund IF,Ýsveç,0-500,Ortasaha,30-40,6,77,0-100,5131,58
Danny Pugh,Port Vale,Ýngiltere,500-1000,Ortasaha,30-40,13,276,0-100,19362,214
Darren Fletcher,Stoke City,Ýskoçya,1000-10000,Ortasaha,30-40,17,509,0-100,37472,426
Kieran Richardson,Aston Villa,Ýngiltere,1000-10000,Ortasaha,30-40,15,318,0-100,21666,253
Danny Webber,Salford City,Ýngiltere,0-500,Forvet,30-40,8,103,0-100,4489,46
Daniel Nardiello,Bangor City,Ýngiltere,500-1000,Forvet,30-40,10,124,0-100,7047,85
Sam Russell,Grimsby Town,Ýngiltere,0-500,Kaleci,30-40,9,214,0-100,19042,212
Brad Jones,Al Nassr,Avustralya,1000-10000,Kaleci,30-40,18,294,0-100,26075,290
David Murphy,Birmingham,Ýngiltere,500-1000,Defans,30-40,9,141,0-100,10983,120
Andrew Davies,Hartlepool United,Ýngiltere,0-500,Defans,30-40,17,262,0-100,20513,241
Mark Wilson,Dumbarton,Ýskoçya,1000-10000,Defans,30-40,11,157,0-100,12147,139
Stuart Parnaby,Hartlepool United,Ýngiltere,0-500,Defans,30-40,12,176,0-100,12325,136
Luke Wilkshire,Sydney,Avustralya,500-1000,Defans,30-40,15,347,0-100,28308,331
Adam Collin,Kettering Town,Ýngiltere,0-500,Kaleci,30-40,8,266,0-100,23762,264
Titus Bramble,Sunderland,Ýngiltere,1000-10000,Defans,30-40,13,336,0-100,28667,316
Gary Caldwell,Wigan Athletic,Ýskoçya,0-500,Defans,30-40,12,263,0-100,22835,258
Jermaine Jenas,Queens Park Rangers,Ýngiltere,1000-10000,Ortasaha,30-40,13,382,0-100,27482,302
Hugo Viana,Al Wasl Dubai,Portekiz,1000-10000,Ortasaha,30-40,15,404,0-100,25656,286
Shola Ameobi,Notts County,Nijerya,0-500,Forvet,30-40,18,466,0-100,25227,269
Michael Chopra,Kerala Blasters,Ýngiltere,500-1000,Forvet,30-40,14,298,0-100,17330,190
Calvin Zola,Aberdeen,Demokratik Kongo Cumhuriyeti,0-500,Forvet,30-40,2,31,0-100,1164,15
Scott McDonald,Brisbane Roar,Avustralya,500-1000,Forvet,30-40,16,484,100-200,37238,423
George McCartney,West Ham United,Kuzey Ýrlanda,1000-10000,Defans,30-40,13,292,0-100,22979,256
Baki Mercimek,Mamak FK,Türkiye,0-500,Defans,30-40,12,246,0-100,19427,214
Mark Rossiter,Longford Town,Ýrlanda,0-500,Defans,30-40,8,132,0-100,9882,120
Julio Arca,South Shields,Arjantin,1000-10000,Ortasaha,30-40,12,257,0-100,18657,216
David Bellion,Red Star FC 93,Fransa,0-500,Forvet,30-40,14,296,0-100,14594,163
Kevin Kyle,Ayr United,Ýskoçya,1000-10000,Forvet,30-40,10,139,0-100,9683,103
Jonathan Blondel,Club Brugge,Belçika,1000-10000,Ortasaha,30-40,11,159,0-100,10521,123
Rohan Ricketts,Eastern,Ýngiltere,0-500,Ortasaha,30-40,7,74,0-100,3556,41
Matthew Etherington,Stoke City,Ýngiltere,1000-10000,Ortasaha,30-40,13,312,0-100,21486,252
Joe Murphy,Tranmere Rovers,Ýrlanda,0-500,Kaleci,30-40,13,294,0-100,26047,292
Tamika Mkandawire,Tampa Bay Rowdies,Malavi,0-500,Defans,30-40,8,176,0-100,15098,168
Lloyd Dyer,Burton Albion,Ýngiltere,0-500,Ortasaha,30-40,12,354,0-100,22429,237
